국가,확진자,치료중,사망자,완치,치명(%),완치(%),발생률,인구수,국토면적
중국,"91,629
(+25)","512
(-10)","4,636","86,481
(+35)",5.1,94.4,64,"1,439,323,776","9,640,821"
인도,"29,977,861
(+12,569)","662,521
(-18,767)","389,302
(+474)","28,926,038
(+30,862)",1.3,96.5,"21,723","1,380,004,385","3,287,263"
미국,"34,419,838
(+13,779)","5,034,868
(-42,709)","617,463
(+297)","28,767,507
(+56,191)",1.8,83.6,"103,987","331,002,651","9,833,517"
인도네시아,"2,004,445","147,728","54,956","1,801,761",2.7,89.9,"7,328","273,523,615","1,904,569"
파키스탄,"949,838
(+663)","33,452
(-568)","22,034
(+27)","894,352
(+1,204)",2.3,94.2,"4,300","220,892,340","796,095"
브라질,"17,969,806
(+41,878)","1,178,597
(-27,175)","502,817
(+899)","16,288,392
(+68,154)",2.8,90.6,"84,540","212,559,417","8,515,770"
나이지리아,"167,292
(+86)","1,377
(-155)","2,118
(+1)","163,797
(+240)",1.3,97.9,812,"206,139,589","923,768"
방글라데시,"856,304","57,196","13,626","785,482",1.6,91.7,"5,200","164,689,383","143,998"
러시아,"5,334,204","326,070","129,801","4,878,333",2.4,91.5,"36,552","145,934,462","17,125,407"
멕시코,"2,478,551
(+1,268)","273,052
(-1,574)","231,244
(+57)","1,974,255
(+2,785)",9.3,79.7,"19,224","128,932,753","1,964,375"
일본,"785,969","22,248","14,439","749,282",1.8,95.3,"6,214","126,476,461","377,975"
에티오피아,"275,318
(+124)","15,530
(-433)","4,286
(+3)","255,502
(+554)",1.6,92.8,"2,395","114,963,588","1,104,300"
필리핀,"1,364,239","55,847","23,749","1,284,643",1.7,94.2,"12,450","109,581,078","300,000"
이집트,"277,797
(+509)","55,846
(+30)","15,898
(+39)","206,053
(+440)",5.7,74.2,"2,715","102,334,404","1,010,408"
베트남,"13,530
(+47)","8,008
(+45)","69
(+2)","5,453",0.5,40.3,139,"97,338,579","331,210"
콩고민주공화국,"37,926
(+117)","9,109
(+117)",879,"27,938",2.3,73.7,423,"89,561,403","2,344,858"
터키,"5,375,593
(+5,294)","88,626
(+150)","49,236
(+51)","5,237,731
(+5,093)",0.9,97.4,"63,738","84,339,067","783,356"
이란,"3,105,620","262,290","83,101","2,760,229",2.7,88.9,"36,975","83,992,949","1,648,195"
독일,"3,730,599
(+353)","31,492
(-2,584)","91,007
(+37)","3,608,100
(+2,900)",2.4,96.7,"44,526","83,783,942","357,022"
태국,"225,365
(+4,059)","35,836
(+1,977)","1,693
(+35)","187,836
(+2,047)",0.8,83.3,"3,229","69,799,978","513,120"
영국,"4,640,507
(+10,467)","208,530
(+8,451)","127,981
(+5)","4,303,996
(+2,011)",2.8,92.7,"68,357","67,886,011","243,610"
프랑스,"5,757,798
(+487)","80,626
(-9,361)","110,778
(+40)","5,566,394
(+9,808)",1.9,96.7,"88,210","65,273,511","640,679"
이탈리아,"4,253,460
(+484)","76,853
(-10,857)","127,291
(+21)","4,049,316
(+11,320)",3.0,95.2,"70,350","60,461,826","301,340"
탄자니아,509,305,21,183,4.1,36.0,9,"59,734,218","947,303"
남아프리카 공화국,"1,832,479
(+9,160)","117,004
(-110)","58,795
(+93)","1,656,680
(+9,177)",3.2,90.4,"30,897","59,308,690","1,219,090"
미얀마,"148,617
(+595)","11,599
(+445)","3,265
(+3)","133,753
(+147)",2.2,90.0,"2,731","54,409,800","676,578"
케냐,"179,293
(+218)","52,867
(-48)","3,461
(+5)","122,965
(+261)",1.9,68.6,"3,334","53,771,296","580,367"
대한민국,"151,901
(+395)","6,078
(-156)","2,006
(+2)","143,817
(+549)",1.3,94.7,"2,963","51,269,185","100,412"
콜롬비아,"3,968,405
(+23,239)","181,876
(+3,805)","100,582
(+648)","3,685,947
(+18,786)",2.5,92.9,"77,991","50,882,891","1,138,914"
스페인,"3,764,651
(+7,209)","123,928
(-8,657)","80,689
(+37)","3,560,034
(+15,829)",2.1,94.6,"80,519","46,754,778","505,990"
우간다,"72,679
(+1,136)","22,205
(+854)","680
(+20)","49,794
(+262)",0.9,68.5,"1,589","45,741,007","241,038"
아르헨티나,"4,277,395
(+8,606)","277,070
(-12,463)","89,490
(+447)","3,910,835
(+20,622)",2.1,91.4,"94,641","45,195,774","2,780,400"
알제리,"136,294
(+473)","37,831
(+212)","3,641
(+10)","94,822
(+251)",2.7,69.6,"3,108","43,851,044","2,381,741"
수단,"36,347","3,548","2,737","30,062",7.5,82.7,829,"43,849,260","1,861,484"
우크라이나,"2,229,846","25,674","52,032","2,152,140",2.3,96.5,"50,987","43,733,762","603,628"
이라크,"1,292,700","70,911","16,910","1,204,879",1.3,93.2,"32,139","40,222,493","438,317"
아프가니스탄,"105,755","36,391","4,293","65,071",4.1,61.5,"2,717","38,928,346","652,230"
폴란드,"2,878,840","153,363","74,829","2,650,648",2.6,92.1,"76,066","37,846,611","312,685"
캐나다,"1,409,607
(+771)","11,032
(-728)","26,084
(+8)","1,372,491
(+1,491)",1.9,97.4,"37,348","37,742,154","9,984,670"
모로코,"526,737
(+86)","3,595
(-137)","9,244
(+6)","513,898
(+217)",1.8,97.6,"14,271","36,910,560","446,550"
사우디아라비아,"475,403","10,584","7,691","457,128",1.6,96.2,"13,656","34,813,871","2,149,690"
우즈베키스탄,"106,452","3,571",718,"102,163",0.7,96.0,"3,181","33,469,203","447,400"
페루,"2,030,611
(+986)",N/A,"190,645
(+220)",N/A,9.4,N/A,"61,586","32,971,854","1,285,216"
앙골라,"37,748
(+70)","5,098
(-45)","868
(+9)","31,782
(+106)",2.3,84.2,"1,149","32,866,272","1,246,700"
말레이시아,"701,019","62,918","4,477","633,624",0.6,90.4,"21,659","32,365,999","329,847"
모잠비크,"72,577
(+70)","1,488
(-122)",848,"70,241
(+192)",1.2,96.8,"2,322","31,255,435","801,590"
가나,"95,059
(+146)","1,260
(+21)","794
(+1)","93,005
(+124)",0.8,97.8,"3,059","31,072,940","238,533"
예멘,"6,889
(+4)","1,576
(-1)","1,355","3,958
(+5)",19.7,57.5,231,"29,825,964","527,968"
네팔,"622,640","53,940","8,772","559,928",1.4,89.9,"21,370","29,136,808","147,516"
베네수엘라,"262,038
(+1,298)","16,708
(-141)","2,973
(+15)","242,357
(+1,424)",1.1,92.5,"9,215","28,435,940","912,050"
마다가스카르,"42,137",765,903,"40,469",2.1,96.0,"1,522","27,691,018","587,041"
카메룬,"80,328",853,"1,313","78,162",1.6,97.3,"3,026","26,545,863","475,440"
코트디부아르,"48,047
(+3)","252
(-39)",308,"47,487
(+42)",0.6,98.8,"1,821","26,378,274","322,463"
호주,"30,366
(+14)","184
(+14)",910,"29,272",3.0,96.4,"1,191","25,499,884","7,741,220"
니제르,"5,469",98,193,"5,178",3.5,94.7,226,"24,206,644","1,267,000"
대만,"14,080","5,977
(-6,401)",569,"7,534
(+6,401)",4.0,53.5,591,"23,816,775","36,197"
스리랑카,"241,820
(+2,131)","37,798
(+2,079)","2,633
(+52)","201,389",1.1,83.3,"11,293","21,413,249","65,610"
부르키나파소,"13,469",9,167,"13,293",1.2,98.7,644,"20,903,273","274,200"
말리,"14,385
(+4)","3,825
(+1)",524,"10,036
(+3)",3.6,69.8,710,"20,250,833","1,240,192"
루마니아,"1,080,282","2,684","32,391","1,045,207",3.0,96.8,"56,154","19,237,691","238,391"
말라위,"34,914
(+46)","852
(+23)","1,171
(+3)","32,891
(+20)",3.4,94.2,"1,825","19,129,952","118,484"
칠레,"1,522,223
(+5,205)","38,470
(-1,332)","31,645
(+132)","1,452,108
(+6,405)",2.1,95.4,"79,630","19,116,201","756,096"
카자흐스탄,"410,523
(+943)","20,147
(-148)","4,249
(+7)","386,127
(+1,084)",1.0,94.1,"21,863","18,776,707","2,724,900"
잠비아,"130,631","18,490","1,691","110,450",1.3,84.6,"7,106","18,383,955","752,618"
과테말라,"280,854
(+347)","17,419
(-454)","8,735
(+41)","254,700
(+760)",3.1,90.7,"15,677","17,915,568","108,889"
에콰도르,"446,633
(+192)","9,821
(+181)","21,304
(+11)","415,508",4.8,93.0,"25,315","17,643,054","283,561"
시리아,"25,158
(+40)","1,563
(+28)","1,848
(+3)","21,747
(+9)",7.3,86.4,"1,438","17,500,658","185,180"
네덜란드,"1,679,542",N/A,"17,727",N/A,1.1,N/A,"98,019","17,134,872","41,543"
세네갈,"42,437",365,"1,158","40,914",2.7,96.4,"2,534","16,743,927","196,722"
캄보디아,"43,446","5,002",441,"38,003",1.0,87.5,"2,599","16,718,965","181,035"
차드,"4,947
(+1)","5
(+1)",174,"4,768",3.5,96.4,301,"16,425,864","1,284,000"
소말리아,"14,867
(+15)","6,888
(-39)",775,"7,204
(+54)",5.2,48.5,935,"15,893,222","637,657"
짐바브웨,"42,195
(+416)","3,310
(+387)","1,685
(+13)","37,200
(+16)",4.0,88.2,"2,839","14,862,924","390,757"
기니,"23,535
(+85)","1,085
(+53)",168,"22,282
(+32)",0.7,94.7,"1,792","13,132,795","245,857"
르완다,"31,435
(+622)","4,343
(+616)","388
(+6)","26,704",1.2,84.9,"2,427","12,952,218","26,338"
베냉,"8,140",58,103,"7,979",1.3,98.0,671,"12,123,200","112,622"
부룬디,"5,242
(+121)","4,461
(+121)",8,773,0.2,14.7,441,"11,890,784","27,834"
튀니지,"385,428
(+2,478)","34,658
(-1,292)","14,118
(+80)","336,652
(+3,690)",3.7,87.3,"32,612","11,818,619","163,610"
볼리비아,"422,811
(+764)","65,678
(-1,133)","16,174
(+42)","340,959
(+1,855)",3.8,80.6,"36,221","11,673,021","1,098,581"
벨기에,"1,079,640
(+225)","37,925
(+220)","25,141
(+5)","1,016,574",2.3,94.2,"93,156","11,589,623","30,528"
아이티,"17,371","4,319",385,"12,667",2.2,72.9,"1,523","11,402,528","27,750"
쿠바,"169,365
(+1,561)","8,420
(+263)","1,170
(+11)","159,775
(+1,287)",0.7,94.3,"14,953","11,326,616","109,884"
남수단,"10,786
(+16)","157
(+16)",115,"10,514",1.1,97.5,964,"11,193,725","644,329"
도미니카 공화국,"317,645
(+858)","54,238
(-620)","3,758
(+2)","259,649
(+1,476)",1.2,81.7,"29,282","10,847,910","48,670"
체코,"1,666,082","2,640","30,280","1,633,162",1.8,98.0,"155,578","10,708,981","78,867"
그리스,"418,548
(+206)","6,111
(-683)","12,559
(+17)","399,878
(+872)",3.0,95.5,"40,156","10,423,054","131,957"
요르단,"747,000
(+520)","6,498
(-135)","9,671
(+9)","730,831
(+646)",1.3,97.8,"73,213","10,203,134","89,342"
포르투갈,"865,806
(+756)","28,657
(+360)","17,068
(+3)","820,081
(+393)",2.0,94.7,"84,910","10,196,709","92,090"
아제르바이잔,"335,521",959,"4,963","329,599",1.5,98.2,"33,092","10,139,177","86,600"
스웨덴,"1,084,636",N/A,"14,537",N/A,1.3,N/A,"107,398","10,099,265","450,295"
온두라스,"254,194
(+319)","155,560
(+179)","6,772
(+6)","91,862
(+134)",2.7,36.1,"25,664","9,904,607","112,492"
