국가,2015,2016,2017,2018,2019,2020,2021,2022
가나,48.595,54.989,58.978,65.518,66.998,68.418,74.26,79.737
과테말라,62.18,66.034,71.583,73.121,76.694,77.073,81.402,84.901
그리스,195.416,192.81,200.055,212.346,205.349,189.259,209.857,224.819
기니,8.79,8.604,10.337,12.181,13.797,15.455,16.339,17.428
나이지리아,492.437,404.649,375.745,421.737,448.12,429.423,514.049,588.419
남수단,14.801,3.501,3.495,4.659,4.143,4.074,4.461,5.345
남아프리카 공화국,317.578,296.273,349.433,368.135,351.354,302.114,329.529,344.139
네덜란드,765.65,783.844,833.575,914.458,907.151,909.503,1012.598,1073.229
네팔,24.361,24.524,28.972,33.112,34.187,34.465,36.084,38.679
니제르,9.684,10.35,11.185,12.85,12.912,13.698,15.899,18.528
대만,534.515,543.081,590.733,609.198,612.168,668.51,759.104,810.665
대한민국,1466.039,1499.362,1623.074,1725.373,1646.739,1630.871,1806.707,1885.676
도미니카 공화국,71.254,75.777,80.082,85.63,89.032,78.731,83.917,90.05
독일,3357.926,3468.896,3681.303,3965.565,3861.55,3803.014,4319.286,4598.116
러시아,1356.704,1280.648,1575.14,1653.006,1689.302,1473.583,1710.734,1777.102
루마니아,177.731,188.13,211.696,241.456,249.695,247.214,289.13,316.339
르완다,8.585,8.734,9.253,9.629,10.123,10.372,10.633,11.288
마다가스카르,11.323,11.849,13.176,13.974,14.519,13.837,14.746,15.972
말라위,6.402,5.492,6.23,6.911,7.663,8.488,9.268,9.598
말레이시아,301.355,301.255,319.109,358.713,364.684,338.276,387.093,417.209
말리,13.106,14.022,15.36,17.079,17.308,17.639,19.912,21.824
멕시코,1171.87,1078.493,1158.912,1222.346,1268.868,1076.163,1192.48,1251.085
모로코,101.179,103.312,109.683,118.096,119.701,113.548,124.003,131.309
모잠비크,15.951,11.937,13.15,14.71,15.195,14.385,13.957,14.889
미국,18238.3,18745.1,19542.975,20611.875,21433.225,20932.75,22675.271,24003.704
미얀마,62.655,60.09,61.267,66.699,68.802,81.257,76.195,79.415
방글라데시,195.147,221.398,249.695,273.3,302.396,329.12,352.908,391.314
베냉,11.389,11.818,12.697,14.257,14.392,15.193,17.327,19.056
베네수엘라,323.595,279.249,143.841,98.4,63.96,47.255,42.53,40.403
베트남,236.84,252.149,277.074,304.016,329.537,340.821,354.868,389.746
벨기에,462.383,475.931,502.521,543.98,533.157,513.087,578.996,615.336
볼리비아,33.241,34.189,37.782,40.581,41.193,39.381,43.11,46.546
부룬디,3.104,2.96,3.172,3.037,2.968,3.011,3.244,3.446
부르키나파소,11.833,12.819,14.165,16.207,15.746,16.541,18.853,20.568
브라질,1800.046,1796.622,2063.518,1916.934,1877.114,1434.084,1491.772,1636.413
사우디아라비아,654.27,644.936,688.586,786.522,792.967,701.467,804.921,827.133
세네갈,17.777,19.035,20.989,23.127,23.307,24.448,27.927,30.521
소말리아,4.049,4.198,4.509,4.721,4.944,4.92,5.367,5.641
수단,64.536,64.883,47.837,35.891,33.564,34.37,35.827,35.917
스리랑카,80.557,82.39,87.422,87.922,83.978,80.7,84.532,88.315
스웨덴,505.104,515.655,541.019,555.455,531.283,537.61,625.948,661.242
스페인,1195.721,1232.573,1312.076,1422.799,1393.644,1278.208,1461.552,1571.099
시리아,no data,no data,no data,no data,no data,no data,no data,no data
아르헨티나,642.464,556.774,643.861,517.244,444.458,388.279,418.15,434.809
아이티,14.856,13.732,14.214,15.965,14.334,14.286,22.431,22.644
아제르바이젠,50.844,37.83,41.375,47.113,48.048,42.607,49.914,50.861
아프가니스탄,20.22,17.994,18.91,18.401,18.876,19.132,19.938,21.201
알제리,165.979,160.034,170.207,175.367,171.07,144.294,151.459,150.135
앙골라,116.194,101.124,122.124,105.902,89.603,62.44,66.493,68.532
에콰도르,99.29,99.938,104.296,107.562,108.108,96.665,100.595,103.874
에티오피아,63.081,72.12,76.841,80.207,92.608,96.611,93.966,92.907
영국,2933.433,2703.242,2664.705,2860.982,2833.301,2710.97,3124.65,3340.838
예멘,42.445,30.934,26.736,23.486,22.568,20.14,25.095,25.826
온두라스,20.978,21.714,23.137,23.857,24.921,23.691,26.161,27.561
요르단,38.642,39.949,41.467,42.993,44.566,43.481,44.979,47.117
우간다,27.445,29.557,31.384,34.095,37.788,37.613,41.271,44.83
우즈베키스탄,81.34,81.323,58.147,50.378,57.726,57.706,61.203,67.144
우크라이나,90.489,93.313,112.125,130.927,153.895,151.543,164.593,185.185
이라크,177.634,167.716,192.343,216.946,222.434,172.119,190.733,203.292
이란,385.023,418.064,445.528,456.59,581.252,635.724,682.859,714.707
이집트,332.075,332.484,236.528,250.253,302.335,361.847,394.284,429.573
이탈리아,1836.824,1876.554,1961.105,2093.089,2005.135,1884.935,2106.287,2231.938
인도,2103.588,2294.118,2651.474,2701.112,2870.504,2708.77,3049.704,3312.949
인도네시아,860.741,932.066,1015.488,1042.711,1120.042,1059.638,1158.783,1256.282
일본,4444.931,5003.678,4930.837,5036.892,5148.781,5048.688,5378.136,5653.462
잠비아,21.245,20.965,25.874,26.312,23.309,18.529,18.955,19.083
중국,11113.528,11227.075,12265.317,13841.901,14340.6,14722.837,16642.318,18013.395
짐바브웨,19.963,20.054,21.89,21.093,19.273,21.038,26.085,29.363
차드,10.952,10.202,10.079,11.036,10.934,10.742,12.531,13.269
체코,188.033,196.272,218.629,248.95,250.686,241.455,276.109,297.029
칠레,243.888,250.326,276.9,297.436,279.27,252.756,307.938,327.9
카메룬,30.932,32.635,34.997,38.712,38.863,39.02,44.893,48.074
카자흐스탄,184.388,137.289,166.806,179.34,181.667,164.792,187.836,198.08
캄보디아,18.083,20.043,22.189,24.444,26.728,25.953,27.239,29.121
캐나다,1556.508,1527.996,1649.266,1721.822,1741.576,1643.408,1883.487,2030.619
케냐,64.235,69.19,78.896,87.801,95.41,99.287,106.041,112.75
코트디부아르,45.815,47.964,51.588,58.011,58.539,61.402,70.991,77.334
콜롬비아,293.492,282.72,311.889,334.124,323.375,271.463,295.61,313.438
콩고민주공화국,11.891,10.159,11.11,13.402,12.542,10.232,12.022,12.366
탄자니아,47.384,49.774,53.227,56.699,60.81,63.244,65.919,70.068
태국,401.142,413.497,456.523,506.403,544.152,501.888,538.735,577.911
터키,864.071,869.28,858.932,779.599,760.94,719.537,794.53,868.44
튀니지,43.172,41.801,39.627,40.139,39.169,39.553,44.265,46.527
파키스탄,270.17,278.023,304.603,313.073,276.114,262.799,no data,no data
페루,191.316,194.95,214.061,225.141,230.746,203.772,225.918,240.911
포르투갈,199.414,206.369,221.28,242.423,239.537,231.348,257.391,277.409
폴란드,477.488,472.256,526.643,587.433,595.772,594.18,642.121,697.432
프랑스,2439.436,2472.282,2594.235,2791.163,2717.204,2598.907,2938.271,3138.871
필리핀,306.446,318.627,328.481,346.842,376.795,362.243,402.638,434.652
호주,1234.823,1266.268,1385.194,1421.303,1391.536,1359.326,1617.543,1693.021