국가,확진자,치료중,사망자,완치,치명(%),완치(%),발생률,인구수,국토면적
중국,"91629","512",4636 ,"86481",5 ,94 ,64 ,1439323776 ,9640821 
인도,"29977861","662521","389302","28926038",1 ,97 ,21723 ,1380004385 ,3287263 
미국,"34419838
","5034868
","617463
","28767507
",2 ,84 ,103987 ,331002651 ,9833517 
인도네시아,2004445 ,147728 ,54956 ,1801761 ,3 ,90 ,7328 ,273523615 ,1904569 
파키스탄,"949838
","33452
","22034
","894352
",2 ,94 ,4300 ,220892340 ,796095 
브라질,"17969806
","1178597
","502817
","16288392
",3 ,91 ,84540 ,212559417 ,8515770 
나이지리아,"167292
","1377
","2118
","163797
",1 ,98 ,812 ,206139589 ,923768 
방글라데시,856304 ,57196 ,13626 ,785482 ,2 ,92 ,5200 ,164689383 ,143998 
러시아,5334204 ,326070 ,129801 ,4878333 ,2 ,92 ,36552 ,145934462 ,17125407 
멕시코,"2478551
","273052
","231244
","1974255
",9 ,80 ,19224 ,128932753 ,1964375 
일본,785969 ,22248 ,14439 ,749282 ,2 ,95 ,6214 ,126476461 ,377975 
에티오피아,"275318
","15530
","4286
","255502
",2 ,93 ,2395 ,114963588 ,1104300 
필리핀,1364239 ,55847 ,23749 ,1284643 ,2 ,94 ,12450 ,109581078 ,300000 
이집트,"277797
","55846
","15898
","206053
",6 ,74 ,2715 ,102334404 ,1010408 
베트남,"13530
","8008
","69
",5453 ,1 ,40 ,139 ,97338579 ,331210 
콩고민주공화국,"37926
","9109
",879 ,27938 ,2 ,74 ,423 ,89561403 ,2344858 
터키,"5375593
","88626
","49236
","5237731
",1 ,97 ,63738 ,84339067 ,783356 
이란,3105620 ,262290 ,83101 ,2760229 ,3 ,89 ,36975 ,83992949 ,1648195 
독일,"3730599
","31492
","91007
","3608100
",2 ,97 ,44526 ,83783942 ,357022 
태국,"225365
","35836
","1693
","187836
",1 ,83 ,3229 ,69799978 ,513120 
영국,"4640507
","208530
","127981
","4303996
",3 ,93 ,68357 ,67886011 ,243610 
프랑스,"5757798
","80626
","110778
","5566394
",2 ,97 ,88210 ,65273511 ,640679 
이탈리아,"4253460
","76853
","127291
","4049316
",3 ,95 ,70350 ,60461826 ,301340 
탄자니아,509 ,305 ,21 ,183 ,4 ,36 ,9 ,59734218 ,947303 
남아프리카 공화국,"1832479
","117004
","58795
","1656680
",3 ,90 ,30897 ,59308690 ,1219090 
미얀마,"148617
","11599
","3265
","133753
",2 ,90 ,2731 ,54409800 ,676578 
케냐,"179293
","52867
","3461
","122965
",2 ,69 ,3334 ,53771296 ,580367 
대한민국,"151901
","6078
","2006
","143817
",1 ,95 ,2963 ,51269185 ,100412 
콜롬비아,"3968405
","181876
","100582
","3685947
",3 ,93 ,77991 ,50882891 ,1138914 
스페인,"3764651
","123928
","80689
","3560034
",2 ,95 ,80519 ,46754778 ,505990 
우간다,"72679
","22205
","680
","49794
",1 ,69 ,1589 ,45741007 ,241038 
아르헨티나,"4277395
","277070
","89490
","3910835
",2 ,91 ,94641 ,45195774 ,2780400 
알제리,"136294
","37831
","3641
","94822
",3 ,70 ,3108 ,43851044 ,2381741 
수단,36347 ,3548 ,2737 ,30062 ,8 ,83 ,829 ,43849260 ,1861484 
우크라이나,2229846 ,25674 ,52032 ,2152140 ,2 ,97 ,50987 ,43733762 ,603628 
이라크,1292700 ,70911 ,16910 ,1204879 ,1 ,93 ,32139 ,40222493 ,438317 
아프가니스탄,105755 ,36391 ,4293 ,65071 ,4 ,62 ,2717 ,38928346 ,652230 
폴란드,2878840 ,153363 ,74829 ,2650648 ,3 ,92 ,76066 ,37846611 ,312685 
캐나다,"1409607
","11032
","26084
","1372491
",2 ,97 ,37348 ,37742154 ,9984670 
모로코,"526737
","3595
","9244
","513898
",2 ,98 ,14271 ,36910560 ,446550 
사우디아라비아,475403 ,10584 ,7691 ,457128 ,2 ,96 ,13656 ,34813871 ,2149690 
우즈베키스탄,106452 ,3571 ,718 ,102163 ,1 ,96 ,3181 ,33469203 ,447400 
페루,"2030611
",N/A,"190645
",N/A,9 ,N/A,61586 ,32971854 ,1285216 
앙골라,"37748
","5098
","868
","31782
",2 ,84 ,1149 ,32866272 ,1246700 
말레이시아,701019 ,62918 ,4477 ,633624 ,1 ,90 ,21659 ,32365999 ,329847 
모잠비크,"72577
","1488
",848 ,"70241
",1 ,97 ,2322 ,31255435 ,801590 
가나,"95059
","1260
","794
","93005
",1 ,98 ,3059 ,31072940 ,238533 
예멘,"6889
","1576
",1355 ,"3958
",20 ,58 ,231 ,29825964 ,527968 
네팔,622640 ,53940 ,8772 ,559928 ,1 ,90 ,21370 ,29136808 ,147516 
베네수엘라,"262038
","16708
","2973
","242357
",1 ,93 ,9215 ,28435940 ,912050 
마다가스카르,42137 ,765 ,903 ,40469 ,2 ,96 ,1522 ,27691018 ,587041 
카메룬,80328 ,853 ,1313 ,78162 ,2 ,97 ,3026 ,26545863 ,475440 
코트디부아르,"48047
","252
",308 ,"47487
",1 ,99 ,1821 ,26378274 ,322463 
호주,"30366
","184
",910 ,29272 ,3 ,96 ,1191 ,25499884 ,7741220 
니제르,5469 ,98 ,193 ,5178 ,4 ,95 ,226 ,24206644 ,1267000 
대만,14080 ,"5977
",569 ,"7534
",4 ,54 ,591 ,23816775 ,36197 
스리랑카,"241820
","37798
","2633
",201389 ,1 ,83 ,11293 ,21413249 ,65610 
부르키나파소,13469 ,9 ,167 ,13293 ,1 ,99 ,644 ,20903273 ,274200 
말리,"14385
","3825
",524 ,"10036
",4 ,70 ,710 ,20250833 ,1240192 
루마니아,1080282 ,2684 ,32391 ,1045207 ,3 ,97 ,56154 ,19237691 ,238391 
말라위,"34914
","852
","1171
","32891
",3 ,94 ,1825 ,19129952 ,118484 
칠레,"1522223
","38470
","31645
","1452108
",2 ,95 ,79630 ,19116201 ,756096 
카자흐스탄,"410523
","20147
","4249
","386127
",1 ,94 ,21863 ,18776707 ,2724900 
잠비아,130631 ,18490 ,1691 ,110450 ,1 ,85 ,7106 ,18383955 ,752618 
과테말라,"280854
","17419
","8735
","254700
",3 ,91 ,15677 ,17915568 ,108889 
에콰도르,"446633
","9821
","21304
",415508 ,5 ,93 ,25315 ,17643054 ,283561 
시리아,"25158
","1563
","1848
","21747
",7 ,86 ,1438 ,17500658 ,185180 
네덜란드,1679542 ,N/A,17727 ,N/A,1 ,N/A,98019 ,17134872 ,41543 
세네갈,42437 ,365 ,1158 ,40914 ,3 ,96 ,2534 ,16743927 ,196722 
캄보디아,43446 ,5002 ,441 ,38003 ,1 ,88 ,2599 ,16718965 ,181035 
차드,"4947
","5
",174 ,4768 ,4 ,96 ,301 ,16425864 ,1284000 
소말리아,"14867
","6888
",775 ,"7204
",5 ,49 ,935 ,15893222 ,637657 
짐바브웨,"42195
","3310
","1685
","37200
",4 ,88 ,2839 ,14862924 ,390757 
기니,"23535
","1085
",168 ,"22282
",1 ,95 ,1792 ,13132795 ,245857 
르완다,"31435
","4343
","388
",26704 ,1 ,85 ,2427 ,12952218 ,26338 
베냉,8140 ,58 ,103 ,7979 ,1 ,98 ,671 ,12123200 ,112622 
부룬디,"5242
","4461
",8 ,773 ,0 ,15 ,441 ,11890784 ,27834 
튀니지,"385428
","34658
","14118
","336652
",4 ,87 ,32612 ,11818619 ,163610 
볼리비아,"422811
","65678
","16174
","340959
",4 ,81 ,36221 ,11673021 ,1098581 
벨기에,"1079640
","37925
","25141
",1016574 ,2 ,94 ,93156 ,11589623 ,30528 
아이티,17371 ,4319 ,385 ,12667 ,2 ,73 ,1523 ,11402528 ,27750 
쿠바,"169365
","8420
","1170
","159775
",1 ,94 ,14953 ,11326616 ,109884 
남수단,"10786
","157
",115 ,10514 ,1 ,98 ,964 ,11193725 ,644329 
도미니카 공화국,"317645
","54238
","3758
","259649
",1 ,82 ,29282 ,10847910 ,48670 
체코,1666082 ,2640 ,30280 ,1633162 ,2 ,98 ,155578 ,10708981 ,78867 
그리스,"418548
","6111
","12559
","399878
",3 ,96 ,40156 ,10423054 ,131957 
요르단,"747000
","6498
","9671
","730831
",1 ,98 ,73213 ,10203134 ,89342 
포르투갈,"865806
","28657
","17068
","820081
",2 ,95 ,84910 ,10196709 ,92090 
아제르바이잔,335521 ,959 ,4963 ,329599 ,2 ,98 ,33092 ,10139177 ,86600 
스웨덴,1084636 ,N/A,14537 ,N/A,1 ,N/A,107398 ,10099265 ,450295 
온두라스,"254194
","155560
","6772
","91862
",3 ,36 ,25664 ,9904607 ,112492 
